@relation 'mxmh_survey_results-weka.filters.unsupervised.attribute.Remove-R1,33-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C33-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C32-Llast-weka.filters.unsupervised.attribute.Remove-R32,33-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last-precision6'

@attribute Age {'\'(-inf-14.8]\'','\'(14.8-19.6]\'','\'(19.6-24.4]\'','\'(24.4-29.2]\'','\'(29.2-34]\'','\'(34-38.8]\'','\'(38.8-43.6]\'','\'(43.6-48.4]\'','\'(48.4-53.2]\'','\'(53.2-inf)\''}
@attribute 'Primary streaming service' {Spotify,Pandora,'YouTube Music','I do not use a streaming service.','Apple Music','Other streaming service'}
@attribute 'Hours per day' {'\'(-inf-1.4]\'','\'(1.4-2.8]\'','\'(2.8-4.2]\'','\'(4.2-5.6]\'','\'(5.6-7]\'','\'(7-8.4]\'','\'(8.4-inf)\''}
@attribute 'While working' {Yes,No}
@attribute Instrumentalist {Yes,No}
@attribute Composer {Yes,No}
@attribute 'Fav genre' {Latin,Rock,'Video game music',Jazz,R&B,'K pop',Country,EDM,'Hip hop',Pop,Rap,Classical,Metal,Folk,Lofi,Gospel}
@attribute Exploratory {Yes,No}
@attribute 'Foreign languages' {Yes,No}
@attribute BPM {'\'(-inf-22]\'','\'(22-44]\'','\'(44-66]\'','\'(66-88]\'','\'(88-110]\'','\'(110-132]\'','\'(132-154]\'','\'(154-inf)\''}
@attribute 'Frequency [Classical]' {Rarely,Sometimes,Never,'Very frequently'}
@attribute 'Frequency [Country]' {Never,Sometimes,'Very frequently',Rarely}
@attribute 'Frequency [EDM]' {Rarely,Never,'Very frequently',Sometimes}
@attribute 'Frequency [Folk]' {Never,Rarely,Sometimes,'Very frequently'}
@attribute 'Frequency [Gospel]' {Never,Sometimes,Rarely,'Very frequently'}
@attribute 'Frequency [Hip hop]' {Sometimes,Rarely,Never,'Very frequently'}
@attribute 'Frequency [Jazz]' {Never,'Very frequently',Rarely,Sometimes}
@attribute 'Frequency [K pop]' {'Very frequently',Rarely,Sometimes,Never}
@attribute 'Frequency [Latin]' {'Very frequently',Sometimes,Never,Rarely}
@attribute 'Frequency [Lofi]' {Rarely,Sometimes,'Very frequently',Never}
@attribute 'Frequency [Metal]' {Never,Sometimes,Rarely,'Very frequently'}
@attribute 'Frequency [Pop]' {'Very frequently',Sometimes,Rarely,Never}
@attribute 'Frequency [R&B]' {Sometimes,Never,'Very frequently',Rarely}
@attribute 'Frequency [Rap]' {'Very frequently',Rarely,Never,Sometimes}
@attribute 'Frequency [Rock]' {Never,'Very frequently',Rarely,Sometimes}
@attribute 'Frequency [Video game music]' {Sometimes,Rarely,'Very frequently',Never}
@attribute Anxiety {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-inf)\''}
@attribute Depression {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-inf)\''}
@attribute Insomnia {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-7]\'','\'(7-8]\'','\'(8-9]\'','\'(9-inf)\''}
@attribute OCD {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-7]\'','\'(7-8]\'','\'(8-9]\'','\'(9-inf)\''}
@attribute 'Music effects' {'No effect',Improve,Worsen}

@data
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',Yes,Yes,Yes,Latin,Yes,Yes,'\'(154-inf)\'',Rarely,Never,Rarely,Never,Never,Sometimes,Never,'Very frequently','Very frequently',Rarely,Never,'Very frequently',Sometimes,'Very frequently',Never,Sometimes,'\'(2-3]\'','\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',No,No,No,'Video game music',No,Yes,'\'(110-132]\'',Never,Never,'Very frequently',Never,Never,Rarely,Rarely,'Very frequently',Never,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,'Very frequently','\'(6-inf)\'','\'(6-inf)\'','\'(9-inf)\'','\'(1-2]\'','No effect'
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,R&B,Yes,No,'\'(88-110]\'',Never,Never,Rarely,Never,Rarely,'Very frequently',Never,'Very frequently',Sometimes,Sometimes,Never,Sometimes,'Very frequently','Very frequently',Never,Rarely,'\'(6-inf)\'','\'(1-2]\'','\'(4-5]\'','\'(8-9]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(4.2-5.6]\'',Yes,Yes,Yes,Jazz,Yes,Yes,'\'(66-88]\'',Rarely,Sometimes,Never,Never,Never,Sometimes,'Very frequently','Very frequently',Rarely,'Very frequently',Rarely,'Very frequently','Very frequently','Very frequently','Very frequently',Never,'\'(6-inf)\'','\'(6-inf)\'','\'(6-7]\'','\'(6-7]\'',Improve
'\'(14.8-19.6]\'','YouTube Music','\'(2.8-4.2]\'',Yes,Yes,No,'Video game music',Yes,Yes,'\'(44-66]\'',Sometimes,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Sometimes,'\'(3-4]\'','\'(6-inf)\'','\'(5-6]\'','\'(-inf-1]\'',Improve
'\'(19.6-24.4]\'',Spotify,'\'(-inf-1.4]\'',Yes,No,No,'K pop',Yes,Yes,'\'(88-110]\'',Never,Never,Rarely,Never,Never,'Very frequently',Rarely,'Very frequently',Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Rarely,'\'(4-5]\'','\'(2-3]\'','\'(4-5]\'','\'(2-3]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(5.6-7]\'',Yes,No,No,Rock,No,No,'\'(88-110]\'',Never,'Very frequently',Never,Sometimes,Never,Never,Never,Never,Never,Never,'Very frequently',Never,Never,Never,'Very frequently',Never,'\'(1-2]\'','\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'','I do not use a streaming service.','\'(-inf-1.4]\'',Yes,No,No,R&B,Yes,Yes,'\'(154-inf)\'',Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,'\'(1-2]\'','\'(1-2]\'','\'(4-5]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',Yes,Yes,No,Country,Yes,No,'\'(110-132]\'',Never,'Very frequently',Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Rarely,Never,'\'(6-inf)\'','\'(6-inf)\'','\'(3-4]\'','\'(6-7]\'','No effect'
'\'(14.8-19.6]\'','YouTube Music','\'(7-8.4]\'',Yes,No,No,EDM,Yes,No,'\'(110-132]\'',Rarely,Never,'Very frequently',Never,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,'\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(24.4-29.2]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,'Hip hop',Yes,Yes,'\'(110-132]\'',Rarely,Never,Rarely,Never,Never,'Very frequently',Never,Sometimes,Never,'Very frequently',Never,Sometimes,Sometimes,Rarely,Rarely,Never,'\'(6-inf)\'','\'(2-3]\'','\'(1-2]\'','\'(6-7]\'',Improve
